County,"Violent
crime","Property
crime",Total Crime
Anderson County,54,350,404
Andrews County,17,80,97
Angelina County,96,492,588
Aransas County,76,264,340
Atascosa County,83,520,603
Austin County,14,100,114
Bailey County,10,28,38
Bandera County,34,284,318
Bastrop County,162,646,808
Bee County,31,145,176
Bell County,83,683,766
Bexar County,627,"5,166",5793
Blanco County,9,36,45
Bosque County,2,51,53
Bowie County,80,349,429
Brazoria County,171,"1,226",1397
Brazos County,49,305,354
Brewster County,8,13,21
Briscoe County,1,7,8
Brooks County,0,0,0
Brown County,21,153,174
Burleson County,26,112,138
Burnet County,55,175,230
Caldwell County,33,114,147
Calhoun County,34,93,127
Callahan County,8,37,45
Cameron County,164,937,1101
Camp County,2,74,76
Carson County,11,36,47
Cass County,39,208,247
Castro County,2,20,22
Cherokee County,85,418,503
Childress County,0,10,10
Clay County,25,124,149
Collin County,76,346,422
Colorado County,12,102,114
Comal County,,517,517
Comanche County,2,61,63
Concho County,11,9,20
Cooke County,16,116,132
Coryell County,7,75,82
Crockett County,3,0,3
Crosby County,4,19,23
Culberson County,0,0,0
Dallam County,1,3,4
Dallas County,50,236,286
Dawson County,4,51,55
Deaf Smith County,6,53,59
Delta County,2,29,31
Denton County,75,486,561
DeWitt County,32,0,32
Dimmit County,9,116,125
Donley County,5,37,42
Duval County,17,122,139
Eastland County,2,32,34
Ector County,109,"1,554",1663
Edwards County,3,21,24
El Paso County,243,668,911
Ellis County,118,412,530
Erath County,34,123,157
Falls County,17,53,70
Fannin County,35,172,207
Fayette County,19,111,130
Floyd County,23,36,59
Foard County,0,0,0
Fort Bend County,836,"3,969",4805
Franklin County,17,51,68
Freestone County,17,109,126
Frio County,28,57,85
Gaines County,10,82,92
Galveston County,128,693,821
Garza County,7,35,42
Gillespie County,5,47,52
Glasscock County,0,19,19
Goliad County,13,95,108
Gonzales County,11,100,111
Gray County,7,97,104
Grayson County,91,398,489
Gregg County,67,417,484
Grimes County,8,122,130
Guadalupe County,71,448,519
Hale County,26,66,92
Hall County,1,12,13
Hansford County,5,9,14
Hardin County,45,301,346
Harris County,,"41,708",41708
Harrison County,61,494,555
Hartley County,1,7,8
Haskell County,0,13,13
Hays County,135,656,791
Hemphill County,1,28,29
Henderson County,153,611,764
Hidalgo County,522,"3,489",4011
Hill County,50,280,330
Hockley County,7,97,104
Hood County,71,391,462
Hopkins County,16,70,86
Houston County,10,101,111
Howard County,33,185,218
Hudspeth County,3,32,35
Hutchinson County,15,70,85
Irion County,4,30,34
Jack County,5,58,63
Jackson County,4,52,56
Jasper County,69,317,386
Jefferson County,51,381,432
Jim Wells County,109,344,453
Johnson County,213,675,888
Jones County,1,49,50
Karnes County,2,92,94
Kaufman County,143,571,714
Kendall County,14,111,125
Kenedy County,2,5,7
Kent County,2,9,11
Kerr County,30,155,185
Kimble County,0,11,11
Kinney County,0,1,1
Kleberg County,31,56,87
Knox County,1,12,13
La Salle County,2,37,39
Lamar County,34,144,178
Lamb County,5,42,47
Lampasas County,11,70,81
Lavaca County,16,47,63
Lee County,19,76,95
Leon County,16,129,145
Liberty County,177,666,843
Limestone County,26,106,132
Lipscomb County,4,30,34
Llano County,11,79,90
Lubbock County,25,366,391
Lynn County,0,25,25
Madison County,7,64,71
Marion County,38,124,162
Martin County,3,39,42
Mason County,1,17,18
Matagorda County,57,306,363
McCulloch County,0,14,14
McLennan County,68,424,492
McMullen County,1,18,19
Medina County,75,336,411
Menard County,1,13,14
Midland County,100,559,659
Milam County,18,74,92
Mills County,2,14,16
Mitchell County,0,29,29
Montague County,28,87,115
Montgomery County,847,"4,918",5765
Moore County,3,36,39
Morris County,6,70,76
Motley County,1,4,5
Nacogdoches County,60,309,369
Navarro County,53,281,334
Newton County,22,109,131
Nolan County,5,20,25
Nueces County,71,258,329
Ochiltree County,3,29,32
Oldham County,2,6,8
Orange County,70,541,611
Palo Pinto County,4,98,102
Parker County,136,825,961
Parmer County,5,11,16
Pecos County,0,91,91
Polk County,70,521,591
Potter County,34,194,228
Presidio County,0,3,3
Rains County,18,102,120
Randall County,54,248,302
Reagan County,8,58,66
Real County,4,46,50
Red River County,12,46,58
Reeves County,4,107,111
Refugio County,8,48,56
Roberts County,0,7,7
Robertson County,6,86,92
Rockwall County,13,110,123
Runnels County,1,15,16
Rusk County,65,536,601
Sabine County,36,126,162
San Augustine County,21,52,73
San Jacinto County,42,360,402
San Patricio County,41,258,299
San Saba County,8,34,42
Schleicher County,0,27,27
Scurry County,7,27,34
Sherman County,1,4,5
Smith County,272,"1,345",1617
Somervell County,5,35,40
Starr County,61,160,221
Stephens County,2,45,47
Sterling County,1,4,5
Stonewall County,4,3,7
Sutton County,0,2,2
Swisher County,1,7,8
Tarrant County,109,728,837
Taylor County,35,107,142
Throckmorton County,4,5,9
Titus County,53,176,229
Tom Green County,20,260,280
Travis County,837,"3,090",3927
Trinity County,18,167,185
Tyler County,67,254,321
Upshur County,74,235,309
Upton County,1,18,19
Uvalde County,20,82,102
Val Verde County,27,102,129
Van Zandt County,1,156,157
Victoria County,77,372,449
Walker County,66,210,276
Waller County,71,349,420
Ward County,29,160,189
Washington County,39,90,129
Webb County,71,250,321
Wharton County,69,229,298
Wheeler County,0,31,31
Wichita County,32,139,171
Wilbarger County,1,18,19
Willacy County,64,194,258
Williamson County,195,"1,394",1589
Wilson County,15,188,203
Winkler County,10,61,71
Wise County,110,351,461
Wood County,73,201,274
Yoakum County,5,30,35
Young County,8,39,47
Zapata County,7,202,209
Zavala County,6,38,44